winrhtime   winrh
347.9097   -0.0969
347.9167   -0.2034
347.9236   -0.3029
347.9306   -0.4332
347.9375   -0.5282
347.9444   -0.6290
347.9514   -0.7158
347.9583   -0.8097
347.9653   -0.8659
347.9722   -0.9176
347.9792   -0.9819
347.9861   -1.0371
347.9931   -1.0023
348.0000   -0.9931
348.0069   -1.0334
348.0139   -1.0475
348.0208   -1.1281
348.0278   -1.1000
348.0347   -1.0666
348.0417   -1.0330
348.0486   -1.0099
348.0556   -0.9091
348.0625   -0.8455
348.0694   -0.7820
348.0764   -0.7101
348.0833   -0.6420
348.0903   -0.5695
348.0972   -0.5074
348.1042   -0.4821
348.1111   -0.4826
348.1181   -0.4108
348.1250   -0.3452
348.1319   -0.2412
348.1389   -0.1344
348.1458   -0.0209
348.1528   0.0722
348.1597   0.1444
348.1667   0.2380
348.1736   0.3236
348.1806   0.3970
348.1875   0.4710
348.1944   0.6004
348.2014   0.6421
348.2083   0.7184
348.2153   0.7952
348.2222   0.8989
348.2292   0.9163
348.2361   0.9850
348.2431   0.9629
348.2500   0.9923
348.2569   1.0342
348.2639   1.1054
348.2708   1.4903
348.2778   1.4665
348.2847   1.4460
348.2917   1.4036
348.2986   1.3798
348.3056   1.3767
348.3125   1.3883
348.3194   1.3029
348.3264   1.1360
348.3333   1.0751
348.3403   0.9536
348.3472   0.8884
348.3542   0.8233
348.3611   0.7517
348.3681   0.7479
348.3750   0.6522
348.3819   0.5509
348.3889   0.5428
348.3958   0.3941
348.4028   0.2750
348.4097   0.1556
348.4167   0.0163
348.4236   -0.1004
348.4306   -0.2103
348.4375   -0.3499
348.4444   -0.3787
348.4514   -0.4943
348.4583   -0.6095
348.4653   -0.7153
348.4722   -0.7441
348.4792   -0.7548
348.4861   -0.8338
348.4931   -0.9797
348.5000   -1.0591
348.5069   -1.1170
348.5139   -1.1353
348.5208   -1.1485
348.5278   -1.1616
348.5347   -1.3021
348.5417   -1.2899
348.5486   -1.2634
348.5556   -1.2799
