outdectrhtime   outdectrh
343.2617   -1.3675
343.2804   -1.7615
343.2804   -1.7715
343.2804   -1.9076
343.2804   -1.8976
343.2896   -2.4215
343.2896   -2.4015
343.2896   -2.4015
343.2896   -2.3215
343.2896   -2.4276
343.2896   -2.4576
343.2896   -2.5276
343.2917   -1.5175
343.2917   -1.6575
343.2917   -1.6475
343.2917   -1.7950
343.2917   -1.7450
343.2917   -1.9050
343.2917   -1.9250
343.3037   -2.3875
343.3037   -1.8675
343.3037   -1.7575
343.3037   -2.1250
343.3037   -1.9850
343.3129   -1.6876
343.3167   -2.3015
343.3167   -2.3615
343.3167   -2.4976
343.3167   -2.4376
343.3192   -2.1915
343.3192   -2.1915
343.3192   -2.4776
343.3192   -2.3376
343.3208   -2.0315
343.3208   -2.0415
343.3208   -2.1015
343.3208   -2.1215
343.3208   -2.0815
343.3208   -2.1476
343.3208   -2.2576
343.3208   -2.1776
343.3208   -2.1176
343.3242   -1.8075
343.3242   -1.8075
343.3242   -2.0550
343.3242   -2.0550
343.3413   -2.4576
343.3462   -2.4215
343.3462   -2.4015
343.3462   -1.5776
343.3462   -2.5376
343.3462   -2.5576
343.3583   -1.1675
343.3583   -1.3375
343.3583   -1.4650
343.3583   -1.3950
343.3625   -2.5415
343.3625   -2.5415
343.3625   -2.4515
343.3625   -2.4215
343.3625   -2.6876
343.3625   -2.6776
343.3625   -2.5876
343.3625   -2.2476
343.3683   -1.2015
343.3683   -1.2015
343.3683   -1.2815
343.3683   -1.3476
343.3721   -2.4715
343.3721   -2.3815
343.3721   -2.5076
343.3721   -2.4476
343.3975   -0.2376
343.4137   0.4724
343.4175   -1.4315
343.4217   0.0825
343.4217   -0.2250
343.4217   -0.1850
343.4312   -1.1415
343.4317   0.4585
343.4317   0.4785
343.4317   0.3224
343.4337   -1.3315
343.4337   -1.0415
343.4337   -1.1315
343.4337   -1.4576
343.4337   -1.4176
343.4337   -1.6476
343.4592   1.1025
343.4625   -0.4115
343.4625   -0.4115
343.4750   -0.1915
343.4750   -0.0915
343.4750   -0.3376
343.4754   -0.1815
343.4754   -0.1876
343.4871   0.1185
343.4871   0.1585
343.4871   0.1285
343.4871   0.0485
343.4871   0.0024
343.4871   -0.0176
343.4871   -0.0076
343.4871   -0.3776
343.4946   1.6085
343.4946   1.7985
343.4946   1.7285
343.4946   1.5285
343.4946   1.6424
343.4946   1.6324
343.4946   1.5924
343.4946   1.9824
343.5029   1.8885
343.5029   0.9724
343.5150   0.5385
343.5150   0.5385
343.5150   0.3924
343.5150   0.5424
343.5150   0.3924
343.5150   0.0424
343.5179   1.5325
343.5179   1.3025
343.5179   1.1050
343.5417   2.2885
343.5417   2.5085
343.5417   2.1424
343.5417   2.5224
343.5537   2.7824
343.5537   2.8524
343.5537   2.7824
343.5537   3.1924
343.5604   2.2425
343.5604   1.7125
343.5604   1.4650
343.5604   2.1450
343.5671   2.4885
343.5888   2.2585
343.5888   2.2885
343.5888   2.2924
343.5888   2.2824
343.6267   2.1385
343.6267   2.0024
343.6338   2.5825
343.6338   1.6625
343.6338   2.4625
343.6338   1.6625
343.6338   2.7125
343.6338   2.8325
343.6338   2.3150
343.6338   2.4850
343.6338   2.3350
343.6338   2.1350
343.6587   0.9085
343.6692   -0.0715
343.6692   -0.0115
343.6737   2.0585
343.6737   1.9685
343.6737   1.9124
343.6737   1.6824
343.6817   0.4325
343.6817   0.3925
343.6817   0.1450
343.6817   0.2050
343.6904   1.5285
343.6904   1.3424
343.6904   1.2424
343.6925   0.8725
343.6938   1.3685
343.6938   1.2485
343.6938   0.9624
343.6958   -0.2075
343.6958   -0.5950
343.6958   -0.5250
343.7104   0.7285
343.7104   0.8685
343.7104   0.7285
343.7104   0.7985
343.7104   0.7124
343.7104   0.5924
343.7104   0.5924
343.7104   1.1124
343.7262   -1.2815
343.7262   -1.4276
343.7392   0.6085
343.7392   0.1185
343.7392   0.1985
343.7392   0.0324
343.7475   -1.5415
343.7475   -1.5315
343.7475   -1.6576
343.7475   -1.6776
343.7479   -1.2376
343.7704   -1.5775
343.7704   -1.5075
343.7704   -1.6875
343.7704   -1.7650
343.7771   -0.8215
343.7771   -0.7015
343.7771   -0.7815
343.7771   -0.7215
343.7771   -0.8476
343.7771   -0.9476
343.7771   -0.9176
343.7821   -1.9115
343.7821   -1.9715
343.7821   -1.8976
343.7821   -2.1176
343.7821   -2.0376
343.7821   -2.1176
343.7833   -2.7375
343.7833   -0.9475
343.7833   -1.1050
343.7833   -1.0450
343.7946   -1.2115
343.7946   -1.2115
343.7950   -1.7276
343.7950   -1.7676
343.8062   -1.7915
343.8062   -1.9376
343.8062   -2.0276
343.8146   -2.1676
343.8146   -2.0876
343.8225   -1.6915
343.8225   -1.6515
343.8225   -1.8276
343.8225   -1.8276
343.8225   -1.7776
343.8250   -1.6315
343.8250   -1.5915
343.8250   -1.5715
343.8250   -1.6715
343.8250   -1.7376
343.8250   -1.7676
343.8250   -1.8576
343.8308   -1.5075
343.8308   -1.4275
343.8308   -1.7650
343.8308   -1.7650
343.8308   -1.6550
343.8333   -1.7815
343.8333   -1.8515
343.8333   -1.8615
343.8333   -1.8215
343.8333   -1.8676
343.8333   -1.9176
343.8333   -1.9976
343.8637   -1.5775
343.8637   -1.4775
343.8637   -1.5375
343.8637   -1.6275
343.8637   -1.6750
343.8637   -1.8750
343.8637   -1.8350
343.8879   -1.4675
343.8879   -1.4675
343.8950   -0.1876
343.9021   -0.6215
343.9021   -0.4315
343.9021   -0.5815
343.9021   -0.5015
343.9021   -0.7176
343.9021   -0.6376
343.9021   -0.5676
343.9083   -2.1515
343.9083   -0.5615
343.9083   -0.4715
343.9083   -0.5576
343.9083   -0.6976
343.9083   -0.5976
343.9196   -0.6275
343.9196   -0.3575
343.9383   -1.1715
343.9446   -0.8715
343.9446   -0.7915
343.9558   0.4625
343.9558   0.4625
343.9558   0.5525
343.9558   0.3350
343.9558   0.3350
343.9633   0.6585
343.9633   0.3724
343.9633   0.3724
343.9633   0.3824
343.9804   0.1125
343.9804   0.1525
343.9804   0.1125
343.9804   0.1025
343.9804   -0.1775
343.9804   -0.2450
343.9804   -0.2650
343.9804   -0.0650
343.9804   -0.1550
343.9804   0.1050
343.9925   1.5625
343.9925   1.7125
343.9929   0.9825
343.9929   0.7350
344.0063   1.5885
344.0079   1.8525
344.0079   1.8325
344.0083   0.1385
344.0083   0.4185
344.0083   0.0024
344.0108   1.4124
344.0133   1.5385
344.0133   1.7785
344.0133   1.8585
344.0133   1.8085
344.0133   1.5485
344.0133   1.7024
344.0133   1.6524
344.0133   1.5024
344.0346   0.7625
344.0346   0.7625
344.0346   1.2525
344.0346   0.5150
344.0346   0.5150
344.0346   0.9050
344.0500   0.9885
344.0500   0.9485
344.0500   0.9785
344.0500   1.0585
344.0500   0.7924
344.0500   0.8524
344.0500   0.6924
344.0500   0.4924
344.0550   2.0925
344.0550   1.4525
344.0550   1.2050
344.0550   2.0650
344.0583   1.4725
344.0583   1.4425
344.0583   1.1950
344.0583   1.2550
344.0600   2.0585
344.0600   1.9685
344.0600   1.9124
344.0600   1.9824
344.0883   1.6285
344.0883   1.5185
344.0883   1.6785
344.0883   1.7285
344.0883   1.7724
344.0883   1.4624
344.0883   1.5324
344.0987   2.4924
344.1012   2.2925
344.1012   2.2025
344.1012   2.3125
344.1012   2.5525
344.1012   1.9450
344.1012   2.0750
344.1012   1.9350
344.1012   1.8550
344.1042   2.2424
344.1042   2.3824
344.1146   2.0685
344.1146   2.0985
344.1146   2.0385
344.1146   1.9785
344.1146   1.8024
344.1146   1.9324
344.1146   1.7024
344.1250   2.1585
344.1250   2.1585
344.1271   1.4285
344.1271   0.2585
344.1271   0.1224
344.1271   1.4424
344.1308   1.6824
344.1308   1.4624
344.1308   1.5624
344.1308   1.5324
344.1308   1.0324
344.1492   1.5825
344.1492   2.2325
344.1492   1.3350
344.1492   2.0050
344.1513   1.2224
344.1629   2.1185
344.1629   2.1685
344.1629   2.3185
344.1629   2.2785
344.1629   2.2185
344.1629   2.1624
344.1629   2.0324
344.1629   1.9924
344.1629   2.5324
344.1779   0.0985
344.1779   0.1485
344.1779   0.1185
344.1779   0.1785
344.1779   -0.1476
344.1779   0.1124
344.1779   -0.0276
344.1779   -0.3876
344.1804   1.8225
344.1804   1.6725
344.1950   0.7025
344.1950   1.3025
344.1950   -0.0350
344.1950   0.4450
344.1950   1.0850
344.1963   1.2185
344.1963   1.8285
344.1963   1.7385
344.1971   -0.2515
344.1971   -0.2515
344.1971   -0.1415
344.1971   -0.3976
344.1971   -0.3976
344.1971   -0.2776
344.2029   0.1024
344.2067   -0.4515
344.2067   -0.6376
344.2067   -0.5876
344.2362   -0.6276
344.2400   -1.0115
344.2400   -1.0815
344.2400   -1.1576
344.2400   -1.1576
344.2500   -2.0475
344.2500   -2.0475
344.2500   -1.0176
344.2500   -0.9776
344.2500   -1.0876
344.2596   -0.0475
344.2596   -0.0575
344.2596   -0.3050
344.2596   -0.2650
344.2604   -1.1775
344.2604   -1.1375
344.2604   -1.1275
344.2604   -1.0775
344.2604   -1.3950
344.2604   -1.4050
344.2604   -1.3850
344.2604   -0.9950
344.2904   -1.3976
344.3000   -1.8515
344.3000   -2.0115
344.3000   -1.8315
344.3000   -1.9515
344.3000   -1.8576
344.3000   -1.9376
344.3000   -1.9976
344.3008   -0.7775
344.3008   -0.7475
344.3008   -1.5276
344.3008   -1.0350
344.3008   -0.9650
344.3029   -1.7715
344.3163   -1.2315
344.3163   -1.5176
344.3163   -1.3776
344.3204   -1.1375
344.3204   -1.1775
344.3204   -1.1575
344.3204   -0.8375
344.3204   -1.4350
344.3204   -1.3650
344.3204   -1.4150
344.3204   -1.4250
344.3213   -1.5175
344.3213   -1.5175
344.3213   -1.7750
344.3213   -1.7750
344.3217   -1.3915
344.3217   -1.3815
344.3217   -1.5176
344.3217   -1.6676
344.3383   -1.7476
344.3433   -1.6476
344.3500   -2.9615
344.3500   -1.8915
344.3500   -1.9015
344.3500   -2.0376
344.3500   -2.0276
344.3525   -1.6515
344.3525   -1.6815
344.3525   -1.8176
344.3525   -1.9276
344.3658   -1.6315
344.3658   -1.6315
344.3658   -1.7315
344.3658   -1.7676
344.3658   -1.7676
